"Type","land Mark","Bathroom","categoryName","price","Bedroom","Floor","Kitchen","Living Room","name","location/locationDescription","location/locationLatitude","location/locationLongitude"
"HouseIndividual",,"5","For Rent - House","100000","5","2.5","1","1","📍 DHAPASI | FULL HOUSE FOR RENT","Dhapasi Shp, Kathmandu-3, Kathmandu","27.740779876708984","85.33148193359375"
"Land - Plotted",,,"For Sale - Land","1900000",,,,,"LAND ON SALE AT BISTACHAP","Location","27.717199325561523","85.3239974975586"
"Land - Plotted",,,"For Sale - Land","1600000",,,,,"LAND ON SALE AT CHAPAGAUN","Location","27.717199325561523","85.3239974975586"
"Land - Individual",,,"For Sale - Land","3200000",,,,,"LAND ON SALE AT GODAMCHAUR","Location","27.717199325561523","85.3239974975586"
"Land - Plotted",,,"For Sale - Land","1600000",,,,,"LAND ON SALE AT CHAPAGAUN","Location","27.717199325561523","85.3239974975586"
"House - Individual",,"1","For Rent - House","26000","2","5","1","1","02 Bhk Flat At Rent In Dhumbarai","730/30, Pawan Galli, Anandanagar, Dhumbarahi, Kathmandu Metropolitan City, Kathmandu","27.725200653076172","85.34329986572266"
"HouseIndividual",,"4","For Rent - Flat & Apartment","140000","4","3",,"1","📍BUDHANILKANTHA DEUBA NIWAS AREA 4 BHK HOUSE RENT","Budhanilkantha, Budhanilakantha-8, Kathmandu","27.75763511657715","85.35592651367188"
"ApartmentBuilding",,"1","For Rent - Flat & Apartment","165000","1","3",,"1","MAHARAJGUNJ, 1 BHK FURNISHED APARTMENT FOR RENT","Maharajgunj, Maharajganj Sadak, Kathmandu-3, Kathmandu","27.738969802856445","85.33609771728516"
"House - Individual",,"3","For Rent - House","70000","3","2","1","1","3bhk house for rent jawalakhel lalitpur","Location","27.672950744628906","85.30921173095703"
"HouseIndividual",,"2","For Rent - Flat & Apartment","25000","2","First",,"1","बालकोटमा पुर्व र दक्षिण घाम कार पर्किङ्ग तातो पानी","Redcross Balkot, Suryabinayak-2, Bhaktapur","27.669960021972656","85.36737060546875"
,,,"Flatmates & Paying Guests","18000",,,,,"Flat Sharing Available At Jhamsikhel Lalitpur 1 St","Anu's Yoga, दमकल चक्रपथ मार्ग, Jhamsikhel, Dhobighat, Lalitpur, Lalitpur Metropolitan City, Lalitpur","27.677562713623047","85.30754852294922"
"Land - Individual",,,"For Sale - Land","13000000",,,,,"land for sale kamalpokhare kathamandu 16 aana","Kamalpokhari subway, Kamalpokhari, Narayan Chaur, Kathmandu Metropolitan City, Kathmandu","27.710899353027344","85.32540130615234"
"HouseIndividual",,"1 ","For Rent - Flat & Apartment","20500","1","ground",,"1","2BHK flat for rent Manamaiju","Tarakeshwor-4, Kathmandu,  Bagmati Pradesh","27.747438430786133","85.30010223388672"
"Apartment Building",,"15","For Sale - Apartment","260000000","13","3","2","2","🏨 Luxury Hotel apartment for sale in nayabazar","Location","0","0"
"Land - Individual",,,"For Sale - Land","180000000",,,,,"land for sale hattisar kathamandu 26 aana","Kamalpokhari, Narayan Chaur, Kathmandu Metropolitan City, Kathmandu","27.712099075317383","85.32460021972656"
"Land - Individual",,,"For Sale - Land","2500000",,,,,"land for sale chobhar kritipur kathamandu 20 ropan","F22, Chobhar, Kirtipur Municipality, Kathmandu","27.659818649291992","85.28916931152344"
"HouseIndividual",,"1","For Rent - Flat & Apartment","35000","4","First",,"0","4BKD Flat Rent in Sitapaila, Kalanki, Kathmandu","Sitapaila Kirana, Kathmandu-13, Kathmandu","27.706350326538086","85.2863998413086"
"HouseIndividual",,"1","For Rent - Flat & Apartment","30000","2","3",,"0","Semi furnished Flat rent at Baneshor Kathmandu ","Baneshwor Banquet, Saraswati Marg, Kathmandu-10, Kathmandu","27.691299438476562","85.33186340332031"
"House - Semi Commercial",,,"For Rent - Office Space","88",,"4",,,"Office Space for Rent in Tripureshwor, Kathmandu","Location","27.693702697753906","85.31127166748047"
"House - Semi Commercial",,"5","For Sale - House","330","5","3","2","2","House For Sale","Sitapakha, Phaudegau, Mahalaxmi Municipality, Lalitpur","27.65616798400879","85.34851837158203"
,,,"For Rent - Shutter & Shop Space","11000",,,,,"Shutter on Rent","Chandragiri-13, Kathmandu,  Bagmati Pradesh","27.69448471069336","85.26747131347656"
"HouseIndividual",,"2","For Rent - Flat & Apartment","25000","2","First",,"1","South-facing Sunlight, Car Parking, Hot Water","Redcross Balkot, Suryabinayak-2, Bhaktapur","27.669960021972656","85.36737060546875"
"Commercial Building",,,"For Rent - Office Space","210000",,"2",,,"Office space for rent in putalisadak","Location","27.707988739013672","85.32325744628906"
"House - Individual",,"1","For Rent - Flat & Apartment","15000","1","0",,"1","2 Room For Rent","Aakashedhara, Budhanilkantha Municipality, Kathmandu","27.738149642944336","85.35502624511719"
"HouseIndividual",,"1","For Rent - Flat & Apartment","15000","1","Ground ",,"1","Flat on Rent at Gairigaun, swoyambhu ","Gairi Gaun, Nagarjun-3, Kathmandu","27.722318649291992","85.27935791015625"
"HouseIndividual",,"3","For Sale - House","27000000","11 room total","3","3","4","House for sale at Mhepi ,Nayabazar ,KTM(no dalal)","Kisan Tol, Maligaun Marg, Kathmandu-5, Kathmandu,  Bagmati Pradesh","27.71419906616211","85.33360290527344"
"House - Individual",,"1","For Rent - Flat & Apartment","3999","1","1",,"1","फ्ल्याट अफिस रुमको सामान सार्नु परेमा 9851327416","Location","27.67300796508789","85.34085083007812"
"LandPlotted",,,"For Sale - Land","22",,,,,"Chapagaun planning land ","Chapagaun Lalitpur, Lalitpur-19, Lalitpur","27.67141342163086","85.32319641113281"
"Land - Individual",,,"For Sale - Land","1100000",,,,,"LAND ON SALE AT CHAPAGAUN","Location","27.717199325561523","85.3239974975586"
"House - Individual",,"1","For Rent - House","13000","1","1","1","1","1 BHK RENT","Chandragiri, Chandragiri Municipality, Kathmandu","27.67009925842285","85.22830200195312"
